2003,177,1,1,3.8613,167.86,13.59,0.48571,0.48465,0.05528,0,2.3723
2003,185,1,1,4.5784,261.82,16.53,0.64286,0.58704,0.087153,0,3.8433
2003,193,1,1,4.1846,245.12,17.7,0.9,0.61184,0.094435,0,4.5404
2003,201,1,1,4.4878,167.42,14.77,0.84286,0.63405,0.11914,0,4.0191
2003,209,1,1,4.2463,218.86,15.79,1.2667,0.65624,0.1187,0,5.3999
2003,217,1,1,3.6605,196.85,22.53,1.7,0.64033,0.11607,0,5.682
2003,225,1,1,2.5294,102.72,13.02,1.0712,0.62466,0.1237,0,3.007
2003,233,1,1,1.5489,111.17,7.99,0.97778,0.59312,0.13091,0,2.9672
2003,241,1,1,0.84347,105.05,8.15,0.94286,0.30355,0.23811,0,2.4263
2003,249,1,1,0,47.321,3.95,0.50104,0.51626,-0.041536,0,1.9776
2004,185,1,1,3.7933,197.5,17.75,0.81667,0.5678,0.041338,0,3.244
2004,193,1,1,3.4164,230.98,12.17,0.97778,0.57503,0.064327,0,3.7368
2004,201,1,1,3.4418,177.88,15.1,1.1333,0.60967,0.077979,0,3.8146
2004,209,1,1,3.1568,109.57,16.68,1.0966,0.6354,0.08364,0,2.9215
2004,217,1,1,3.0904,156.98,18.34,0.96667,0.63897,0.070782,0,3.6112
2004,225,1,1,2.3605,153.03,21.92,1.1222,0.62574,0.067479,0,3.6483
2004,233,1,1,2.0145,155.29,13.02,1.0444,0.6111,0.070703,0,3.304
2004,241,1,1,0.83755,89.645,8.61,0.92222,0.5365,0.024496,0,2.029
2004,249,1,1,0.51933,63.903,10.91,0.66667,0.49139,0.0012685,0,1.8466
2005,177,1,1,4.3717,322.43,19.21,0.94444,0.56891,0.035376,0,4.0209
2005,185,1,1,4.0824,227.57,21.93,1.2444,0.6015,0.048407,0,4.576
2005,193,1,1,4.7555,234.29,16.67,1.2889,0.60283,0.064108,0,4.5457
2005,201,1,1,4.4361,145.58,16.53,1.1221,0.62311,0.085831,0,3.4938
2005,209,1,1,3.7155,140.48,18.98,1.0556,0.63003,0.087485,0,3.5032
2005,217,1,1,2.9889,109.32,5.82,1.1667,0.58855,0.086853,0,2.6131
2005,225,1,1,2.066,121.63,15.51,1.0712,0.62466,0.1237,0,3.384
2006,177,1,1,2.3671,192.12,12.45,0.61111,0.55773,0.053559,0,2.9052
